ID,Severity,traffic_disruption_duration,traffic_disruption_distance,is_day
A-198155,2,0.745,0.01,0
A-198204,3,0.4886111111111111,0.01,1
A-198228,2,0.9972222222222222,0.01,1
A-198278,2,0.7461111111111111,0.01,1
A-198336,2,0.7461111111111111,0.01,0
A-198362,2,0.7386111111111111,0.01,0
A-198434,2,0.48944444444444446,0.01,1
A-198439,2,0.4722222222222222,0.01,1
A-198486,2,0.7438888888888889,0.01,0
A-198548,3,0.7416666666666667,0.01,1
A-198558,2,0.7466666666666667,0.01,0
A-198565,2,0.4938888888888889,0.0,0
A-198579,3,0.5,0.01,0
A-198665,3,0.7411111111111112,0.01,1
A-198718,2,0.7458333333333333,0.01,1
A-198719,2,0.7327777777777778,0.01,1
A-198755,3,0.7444444444444445,0.01,0
A-198882,3,0.7419444444444444,0.01,1
A-198895,2,0.7447222222222222,0.01,0
A-198905,2,0.7427777777777778,0.01,0
A-199013,3,0.715,0.01,1
A-199074,2,0.7416666666666667,0.01,0
A-199148,2,0.49027777777777776,0.01,0
A-199156,2,0.9936111111111111,0.01,1
A-199174,3,0.9936111111111111,1.16,1
A-199184,2,0.7383333333333333,0.01,1
A-199191,2,0.4558333333333333,0.01,0
A-199195,2,0.4930555555555556,0.01,0
A-199225,2,0.4880555555555556,0.01,0
A-199250,2,0.4925,0.01,0
A-199309,2,0.495,0.01,1
A-199324,2,0.4847222222222222,1.23,1
A-199364,2,0.4861111111111111,1.23,1
A-199375,2,0.49722222222222223,0.01,1
A-199406,2,0.4866666666666667,0.01,1
A-199605,3,0.48305555555555557,0.76,1
A-199626,3,0.4872222222222222,2.08,1
A-199680,2,0.9947222222222222,0.01,1
A-199724,3,0.7411111111111112,0.01,1
A-199777,2,0.7394444444444445,0.01,0
A-199810,3,0.4708333333333333,0.87,0
A-199851,3,0.4816666666666667,1.02,1
A-199889,2,0.48944444444444446,1.24,1
A-199891,2,0.4975,0.01,1
A-199892,2,0.49694444444444447,0.01,1
A-199899,2,0.49472222222222223,0.01,1
A-200004,2,0.4936111111111111,0.01,0
A-200041,2,0.49805555555555553,0.01,1
A-200042,3,0.48194444444444445,0.01,1
A-200070,2,0.4963888888888889,0.01,1
A-200073,2,0.49333333333333335,0.01,1
A-200094,2,0.7438888888888889,0.01,1
A-200117,2,0.7419444444444444,0.01,1
A-200158,2,0.485,1.24,0
A-200189,3,0.4855555555555556,1.0,1
A-200194,3,0.4880555555555556,1.03,1
A-200200,2,0.49777777777777776,0.01,1
A-200227,2,0.4955555555555556,0.01,1
A-200285,2,0.7458333333333333,0.01,0
A-200292,2,0.7391666666666666,0.01,0
A-200293,2,0.9838888888888889,0.01,0
A-200299,2,0.4866666666666667,2.18,0
A-200300,2,0.48305555555555557,0.01,0
A-200318,3,0.75,0.01,1
A-200344,2,0.7363888888888889,0.01,1
A-200348,3,0.7377777777777778,0.01,1
A-200363,2,0.4936111111111111,0.01,0
A-200427,2,0.48444444444444446,1.24,1
A-200490,3,0.7433333333333333,0.01,0
A-200496,2,0.745,0.01,0
A-200516,2,0.4975,0.01,0
A-200543,2,0.49805555555555553,0.01,0
A-200560,2,0.4936111111111111,0.01,1
A-200634,2,0.7416666666666667,0.01,1
A-200676,2,0.74,0.01,0
A-200712,3,0.48944444444444446,1.1,1
A-200792,3,0.7430555555555556,0.01,1
A-200800,2,0.7413888888888889,0.01,1
A-200801,2,0.7411111111111112,0.01,1
A-200830,2,0.735,0.01,0
A-200886,2,0.49416666666666664,0.01,1
A-200949,2,0.5,0.01,1
A-200959,2,0.4891666666666667,0.01,1
A-200966,2,0.7466666666666667,0.01,1
A-200972,2,0.5,0.01,1
A-200992,2,0.7463888888888889,0.01,0
A-201004,2,0.7419444444444444,0.01,0
A-201020,2,0.755,0.01,0
A-201021,2,0.49694444444444447,0.01,0
A-201024,2,0.7544444444444445,0.01,0
A-201166,2,0.7405555555555555,0.01,1
A-201177,2,0.7352777777777778,0.01,1
A-201193,2,0.49194444444444446,0.01,0
A-201213,3,0.7352777777777778,0.01,1
A-201217,2,0.7394444444444445,0.01,1
A-201224,2,0.7333333333333333,0.01,1
A-201230,2,0.4936111111111111,0.01,0
A-201362,2,0.7447222222222222,0.0,0
A-201403,2,0.5016666666666667,0.01,0
A-201410,2,0.49277777777777776,0.01,0
A-201425,2,0.7536111111111111,0.01,0
A-201526,2,0.49916666666666665,0.01,1
A-201566,2,0.5022222222222222,0.01,1
A-201569,2,0.49777777777777776,0.01,1
A-201598,2,0.7455555555555555,0.01,1
A-201694,3,0.49805555555555553,1.0,1
A-201759,2,0.5011111111111111,0.01,1
A-201776,2,0.49083333333333334,0.01,1
